parcelid,lat,lng,formatted address,# ROOFTOP address fetched
10838338,34.187846,-118.485646,"16155 Gilmore St, Van Nuys, CA 91406, USA",1
10863950,34.144116,-118.454129,"14604 Lacota Pl, Sherman Oaks, CA 91403, USA",3
10874829,34.217368,-118.401386,"8048 Shadyglade Ave, North Hollywood, CA 91605, USA",1
10887713,34.181941,-118.407191,"6124 Beeman Ave, North Hollywood, CA 91606, USA",3
10901050,34.16241,-118.394627,"12005 Hesby St, North Hollywood, CA 91607, USA",2
10917954,34.129972,-118.417216,"3301 Longridge Ave, Sherman Oaks, CA 91423, USA",2
10949658,34.188449,-118.341923,"1801 N Catalina St, Burbank, CA 91505, USA",2
10954606,34.214562,-118.332182,"3318 Durham Ct, Burbank, CA 91504, USA",1
10963287,34.321837,-118.454959,"13735 Dronfield Ave, Sylmar, CA 91342, USA",1
10967796,34.294311,-118.444755,"14323 Hubbard St, Sylmar, CA 91342, USA",2
10977412,34.282897,-118.444983,"415 San Fernando Mission Blvd, San Fernando, CA 91340, USA",3
10981317,34.274018,-118.360452,"10548 Foothill Blvd, Sylmar, CA 91342, USA",2
10991805,34.26109,-118.34045,"9541 La Canada Way, Sunland-Tujunga, CA 91040, USA",1
10997744,34.253901,-118.301427,"7735 Beckett St, Tujunga, CA 91042, USA",2
11003421,34.255732,-118.26718,"6269 Fern Canyon Trail, Tujunga, CA 91042, USA",2
11017602,34.290601,-118.463256,"15165 Holiday Way, Sylmar, CA 91342, USA",2
11049110,34.27698,-118.474244,"15714 Kalisher St, Granada Hills, CA 91344, USA",2
11060445,34.23989,-118.499777,"16842 Liggett St, Northridge, CA 91343, USA",1
11074135,34.266973,-118.533125,"10818 Darby Ave, Northridge, CA 91326, USA",1
11161277,34.451185,-118.388443,"30042 Abelia Rd, Santa Clarita, CA 91387, USA",3
11174690,34.500272,-118.629749,"28158 Royal Rd, Castaic, CA 91384, USA",1
11195296,34.58974,-118.126298,"38928 Stanridge Ave, Palmdale, CA 93550, USA",2
11196458,34.581149,-118.123688,"333 Ave Q-7, Palmdale, CA 93550, USA",2
11203521,34.570768,-118.083732,"2530 E Ave R-2, Palmdale, CA 93550, USA",2
11203790,34.566381,-118.076524,"37606 Cluny Ave, Palmdale, CA 93550, USA",2
11204428,34.560899,-118.088137,"2234 Moonlight Ct, Palmdale, CA 93550, USA",2
11215519,34.56765,-118.02055,"6055 Catalina Ln, Palmdale, CA 93552, USA",2
11243849,34.474226,-117.908098,"12323 E Ave X 12, Pearblossom, CA 93553, USA",1
11260905,34.635978,-118.226891,"5339 Palais Pl, Palmdale, CA 93551, USA",2
11280892,34.687627,-118.170029,"VAC/22ND Stw/Vic Ave Fwy, Lancaster, CA 93535, USA",3
11298368,34.678761,-118.107555,"43809 Rembrandt St, Lancaster, CA 93535, USA",2
11330895,34.503399,-118.191445,"34400 Weststar Rd, Acton, CA 93510, USA",1
11331030,34.503021,-118.169315,"34234 Mountain Pl, Acton, CA 93510, USA",1
11398906,33.975495,-118.344547,"757 E 67th St, Inglewood, CA 90302, USA",1
11409970,33.958843,-118.32373,"8701 S 6th Ave, Inglewood, CA 90305, USA",2
11409993,33.958979,-118.322643,"8624 S 6th Ave, Inglewood, CA 90305, USA",2
11428477,33.908939,-118.323973,"2903 135th Pl, Gardena, CA 90249, USA",1
11457330,33.963768,-118.388835,"6006 W 82nd St, Los Angeles, CA 90045, USA",2
11476413,33.924627,-118.418834,"640 Virginia St, El Segundo, CA 90245, USA",2
11496374,33.870986,-118.38814,"1716 Goodman Ave, Redondo Beach, CA 90278, USA",1
11500018,33.886747,-118.390445,"1335 11th St, Manhattan Beach, CA 90266, USA",2
11502890,33.890843,-118.395781,"1700 N Sepulveda Blvd, Manhattan Beach, CA 90266, USA",3
11508164,33.882364,-118.405206,"517 6th Pl, Manhattan Beach, CA 90266, USA",1
11533039,33.986382,-118.430879,"12930 Walsh Ave, Los Angeles, CA 90066, USA",3
11533607,33.989894,-118.424286,"12499 Walsh Ave, Los Angeles, CA 90066, USA",3
11545637,33.990806,-118.447923,"2570 Lincoln Blvd, Venice, CA 90291, USA",2
11610085,34.037252,-118.412417,"10419 Dunleer Dr, Los Angeles, CA 90064, USA",1
11636324,34.082178,-118.399239,"622 N Maple Dr, Beverly Hills, CA 90210, USA",1
11639479,34.086675,-118.412526,"1006 N Beverly Dr, Beverly Hills, CA 90210, USA",2
11640238,34.097508,-118.404809,"1435 Lindacrest Dr, Beverly Hills, CA 90210, USA",2
11640788,34.096498,-118.420963,"1364 Braeridge Dr, Beverly Hills, CA 90210, USA",2
11648644,34.091558,-118.45404,"1101 Stradella Rd, Los Angeles, CA 90077, USA",2
11665883,34.040735,-118.559569,"17561 Posetano Rd, Pacific Palisades, CA 90272, USA",2
11666355,34.043023,-118.561365,"17727 Tramonto Dr, Pacific Palisades, CA 90272, USA",1
11670849,34.070471,-118.560299,"17171 Pso Allegre, Pacific Palisades, CA 90272, USA",1
11688422,34.037317,-118.844111,"6208 Tapia Dr, Malibu, CA 90265, USA",1
11698940,33.99518,-118.356792,"5154 Onacrest Dr, View Park, CA 90043, USA",1
11707866,34.006209,-118.305085,"1547 W 42nd Pl, Los Angeles, CA 90062, USA",2
11724609,34.019777,-118.343977,"3704 Potomac Ave, Los Angeles, CA 90016, USA",2
11729338,34.030554,-118.315744,"2232 W 27th St, Los Angeles, CA 90018, USA",1
11759834,33.990926,-118.270955,"223 E 57th St, Los Angeles, CA 90011, USA",2
11763394,34.00071,-118.252884,"1259 E 47th Pl, Los Angeles, CA 90011, USA",2
11895127,34.097431,-118.139569,"428 N Electric Ave, Alhambra, CA 91801, USA",3
11915541,34.092019,-118.096767,"315 E Grand Ave, San Gabriel, CA 91776, USA",1
11930055,34.098198,-118.071125,"9065 Rancho Real Rd, Temple City, CA 91780, USA",2
11931171,34.094013,-118.0784,"8725 Andes St, San Gabriel, CA 91776, USA",2
11951252,34.111517,-118.257349,"3210 Glenhurst Ave, Los Angeles, CA 90039, USA",3
11964672,34.104769,-118.209609,"514 Museum Dr, Los Angeles, CA 90065, USA",2
11995437,34.084985,-118.340388,"752 N Mansfield Ave, Los Angeles, CA 90038, USA",1
12024889,34.11978,-118.384553,"8651 Allenwood Rd, Los Angeles, CA 90046, USA",2
12028575,34.112579,-118.330376,"2284 Holly Dr, Los Angeles, CA 90068, USA",1
12028872,34.111924,-118.328798,"6403 Ivarene Ave, Los Angeles, CA 90068, USA",1
12038509,34.115601,-118.284487,"4224 Parva Ave, Los Angeles, CA 90027, USA",1
12057121,34.175643,-118.273369,"1664 Ben Lomond Dr, Glendale, CA 91202, USA",1
12075904,34.181361,-118.205746,"3195 Emerald Isle Dr, Glendale, CA 91206, USA",3
12077310,34.156921,-118.233068,"828 Avonoak Terrace, Glendale, CA 91206, USA",1
12084427,34.130424,-118.237643,"1321 Marion Dr, Glendale, CA 91205, USA",1
12121343,34.138157,-118.09519,"465 S San Gabriel Blvd, Pasadena, CA 91107, USA",1
12123741,34.156784,-118.081038,"600 Sierra Madre Villa Ave, Pasadena, CA 91107, USA",2
12133589,34.152869,-118.049615,"525 Gloria Rd, Arcadia, CA 91006, USA",1
12133758,34.149391,-118.054678,"1024 N Old Ranch Rd, Arcadia, CA 91006, USA",1
12154738,34.209722,-118.195634,"4942 Commonwealth Ave, La Cañada Flintridge, CA 91011, USA",1
12165966,34.185715,-118.142156,"2328 Oliveras Ave, Altadena, CA 91001, USA",1
12194698,33.967935,-118.301858,"7838 S Halldale Ave, Los Angeles, CA 90047, USA",1
12229313,33.938101,-118.240236,"1813 E 108th St, Los Angeles, CA 90059, USA",2
12261052,33.893853,-118.252759,"2100 W 152nd St, Compton, CA 90220, USA",1
12305098,33.952639,-118.200999,"8931 San Luis Ave, South Gate, CA 90280, USA",1
12312314,33.93888,-118.191966,"10242 Dorothy Ave, South Gate, CA 90280, USA",1
12319582,33.94505,-118.151817,"7358 Neo St, Downey, CA 90241, USA",3
12365781,33.972947,-118.184505,"6834 King Ave, Bell, CA 90201, USA",2
12366003,33.971613,-118.178892,"4925 Beck Ave, Bell, CA 90201, USA",2
12381742,33.985261,-118.11795,"1337 S 4th St, Montebello, CA 90640, USA",3
12396136,33.975189,-118.084762,"7036 Pico Vista Rd, Pico Rivera, CA 90660, USA",1
12397005,33.968676,-118.091671,"9629 Poinciana St, Pico Rivera, CA 90660, USA",1
12399215,33.957535,-118.10122,"8611 Eglise Ave, Pico Rivera, CA 90660, USA",1
12423997,33.854191,-118.064816,"12535 Brando St, Cerritos, CA 90703, USA",2
12425118,33.850965,-118.07488,"12046 Wendy St, Cerritos, CA 90703, USA",1
12428562,33.838961,-118.082456,"20925 Pioneer Blvd, Lakewood, CA 90715, USA",2
12435372,33.827538,-118.104385,"6523 E Harco St, Long Beach, CA 90808, USA",2
12435841,33.826929,-118.09899,"3818 N Studebaker Rd, Long Beach, CA 90808, USA",1
12456430,33.848433,-118.174227,"5028 Matney Ave, Long Beach, CA 90807, USA",2
12460417,33.844245,-118.176027,"4709 Brayton Ave, Long Beach, CA 90807, USA",2
12462848,33.834743,-118.178734,"1061 E Burlinghall Dr, Long Beach, CA 90807, USA",2
12473295,33.854215,-118.151144,"3349 Candlewood St, Lakewood, CA 90712, USA",2
12481222,33.865821,-118.139784,"6060 Blackthorne Ave, Lakewood, CA 90712, USA",1
12490615,33.835861,-118.132282,"4250 N Greenbrier Rd, Long Beach, CA 90808, USA",3
12493241,33.82379,-118.109367,"3656 Carfax Ave, Long Beach, CA 90808, USA",1
12494110,33.822064,-118.119181,"5802 E Monlaco Rd, Long Beach, CA 90808, USA",1
12494625,33.822731,-118.127791,"5342 E Keynote St, Long Beach, CA 90808, USA",1
12531384,33.764046,-118.126949,"352 La Verne Ave, Long Beach, CA 90803, USA",2
12616619,33.847193,-118.252809,"20327 Annalee Ave, Carson, CA 90746, USA",1
12621525,33.808201,-118.291197,"921 Stonebryn Dr, Harbor City, CA 90710, USA",1
12644031,33.753449,-118.298418,"979 W Channel St, San Pedro, CA 90731, USA",1
12644945,33.749773,-118.296746,"735 N Meyler St, San Pedro, CA 90731, USA",2
12675403,33.856157,-118.36717,"5122 Arvada St, Torrance, CA 90503, USA",1
12690337,33.794629,-118.375154,"3250 Vía Campesina, Rancho Palos Verdes, CA 90275, USA",1
12709722,33.768869,-118.401962,"7005 Abbottswood Dr, Rancho Palos Verdes, CA 90275, USA",1
12713256,33.76987,-118.363371,"28016 Seashell Way, Rancho Palos Verdes, CA 90275, USA",2
12752141,33.902073,-118.004361,"15343 Manzanares Rd, La Mirada, CA 90638, USA",2
12755124,33.896005,-118.075667,"12075 Abingdon St, Norwalk, CA 90650, USA",1
12792459,33.932434,-118.020594,"11042 Chadsey Dr, Whittier, CA 90604, USA",1
12803247,33.978143,-118.054795,"11732 Loch Lomond Dr, Whittier, CA 90606, USA",1
12825462,33.932434,-118.001658,"15354 Fernview St, Whittier, CA 90604, USA",1
12835748,34.022694,-117.948513,"236 N Stimson Ave, La Puente, CA 91744, USA",3
12845930,33.94708,-117.929096,"2155 Choral Dr, La Habra Heights, CA 90631, USA",1
12869998,34.089067,-117.710186,"374 Sycamore Ave, Claremont, CA 91711, USA",2
12875159,34.064525,-117.733932,"858 Reeves Pl, Pomona, CA 91767, USA",1
12879562,34.025743,-117.744408,"2532 Cottonwood Pl, Pomona, CA 91766, USA",1
12892677,34.07614,-117.763607,"845 Hillcrest Dr, Pomona, CA 91768, USA",2
12903469,34.095456,-117.828196,"806 S Dumaine Ave, San Dimas, CA 91773, USA",1
12914976,34.106663,-117.914581,"17054 E Arrow Hwy, Covina, CA 91722, USA",1
12933322,34.07615,-117.868569,"1068 E Ranchcreek Rd, Covina, CA 91724, USA",2
12940416,34.068148,-117.957659,"1228 S Leland Ave, West Covina, CA 91790, USA",2
12944415,34.06815,-117.943222,"1605 Sawyer Ave, West Covina, CA 91790, USA",2
12954578,34.05359,-117.910911,"1632 E Merced Ave, West Covina, CA 91791, USA",1
12967897,34.157813,-118.006054,"308 W Hillcrest Blvd, Monrovia, CA 91016, USA",2
13007675,34.100666,-118.065026,"5530 Alessandro Ave, Temple City, CA 91780, USA",1
13016363,34.14792,-117.93783,"401 Mountaincrest Rd, Duarte, CA 91010, USA",1
13018949,34.120304,-117.909659,"142 S Angeleno Ave, Azusa, CA 91702, USA",1
13024330,34.114799,-117.891737,"18438 E Ghent St, Azusa, CA 91702, USA",1
13037644,34.136325,-117.854571,"711 E Foothill Blvd, Glendora, CA 91741, USA",1
13046210,34.12727,-117.777221,"1374 Oak Ridge Dr, La Verne, CA 91750, USA",2
13061285,34.035682,-117.776739,"51 Stagecoach Dr, Pomona, CA 91766, USA",1
13071663,34.028177,-117.778759,"18 Stonegate Cir, Pomona, CA 91766, USA",1
13083030,34.012798,-117.894565,"316 Abery Ave, La Puente, CA 91744, USA",1
13083445,34.011814,-117.904185,"18220 Villa Park St, La Puente, CA 91744, USA",1
13083568,34.010412,-117.90433,"18218 Lanaca St, La Puente, CA 91744, USA",1
13876218,33.869327,-117.886,"260 Aquila Ave, Fullerton, CA 92831, USA",3
13880078,33.840326,-117.895947,"1637 E Lincoln Ave, Anaheim, CA 92805, USA",2
13910109,33.845184,-117.960702,"2266 W Sequoia Ave, Anaheim, CA 92801, USA",1
13920964,33.81157,-117.999631,"10371 Courtright Rd, Stanton, CA 90680, USA",3
13922014,33.828024,-117.896625,"1256 E Arizona Pl, Anaheim, CA 92805, USA",2
13980447,33.625369,-117.897913,"1208 Somerset Ln, Newport Beach, CA 92660, USA",2
13992486,33.830928,-117.953872,"215 S Camellia St, Anaheim, CA 92804, USA",2
13993560,33.825556,-117.954139,"2046 W Willow Ave, Anaheim, CA 92804, USA",2
13996803,33.811661,-117.934063,"1531 W Lullaby Ln, Anaheim, CA 92802, USA",2
14006868,33.797164,-117.983259,"11382 Yana Dr, Garden Grove, CA 92841, USA",2
14009444,33.77908,-117.97377,"12641 Lucille Ave, Garden Grove, CA 92841, USA",3
14030172,33.736876,-117.957534,"15562 Dalewood Ln, Westminster, CA 92683, USA",2
14034873,33.725789,-117.923497,"11800 Violet Cir, Fountain Valley, CA 92708, USA",2
14065493,33.698273,-118.017754,"18201 Fieldbury Ln, Huntington Beach, CA 92648, USA",2
14067796,33.707319,-118.025758,"17552 Griffith Cir, Huntington Beach, CA 92649, USA",1
14069730,33.708866,-118.012268,"6671 Cory Dr, Huntington Beach, CA 92647, USA",2
14072216,33.71233,-117.958807,"9753 El Portal Cir, Fountain Valley, CA 92708, USA",3
14077629,33.720416,-118.061564,"16672 Wanderer Ln, Huntington Beach, CA 92649, USA",3
14084562,33.74846,-118.007561,"6942 Sowell Ave, Westminster, CA 92683, USA",1
14088528,33.747351,-118.100747,"1030 Marvista Ave, Seal Beach, CA 90740, USA",2
14095292,33.777276,-118.043537,"3681 Wisteria St, Seal Beach, CA 90740, USA",2
14096829,33.783088,-118.03672,"5532 Richmond Ave, Garden Grove, CA 92845, USA",2
14099075,33.792894,-118.024,"6198 Palau St, Cypress, CA 90630, USA",1
14119894,33.843372,-118.056423,"8195 Mulberry St, Cypress, CA 90630, USA",3
14142600,33.894552,-117.963377,"2024 Verdugo Pl, Fullerton, CA 92833, USA",2
14142723,33.89078,-117.963082,"1648 Canyon Dr, Fullerton, CA 92833, USA",1
14154973,33.937597,-117.906447,No result,0
14163873,33.900145,-117.827265,"4231 Trix Cir, Yorba Linda, CA 92886, USA",2
14172203,33.90413,-117.853043,"2305 Onondaga Ave, Placentia, CA 92870, USA",1
14195171,33.86634,-117.789729,"6640 Bridle Cir, Yorba Linda, CA 92886, USA",2
14201567,33.875886,-117.725078,"5595 Vía Verano, Yorba Linda, CA 92887, USA",2
14213070,33.837949,-117.819735,"4401 E Ridge Gate Rd, Anaheim, CA 92807, USA",2
14246797,33.764127,-117.819166,"13731 Rushmore Ln, Santa Ana, CA 92705, USA",2
14254998,33.755411,-117.825803,"17512 Wellington Ave, Tustin, CA 92780, USA",2
14260214,33.755886,-117.882178,"1150 W Washington Ave, Santa Ana, CA 92706, USA",2
14265012,33.696868,-117.878033,"900 Keller Ave, Santa Ana, CA 92707, USA",3
14278942,33.626156,-117.910979,"498 16th Pl, Costa Mesa, CA 92627, USA",2
14293534,33.653813,-117.895158,"2433 Santa Ana Ave, Costa Mesa, CA 92627, USA",2
14316113,33.629642,-117.853405,"18 Boardwalk, Newport Beach, CA 92660, USA",2
14321046,33.638628,-117.803164,"9 Purple Sage, Irvine, CA 92603, USA",2
14337256,33.769328,-117.786579,"11042 Wickford Dr, Santa Ana, CA 92705, USA",2
14339281,33.860819,-117.722317,"8783 E Garden View Dr, Anaheim, CA 92808, USA",3
14366202,33.657421,-117.687859,"21051 Champlain, Lake Forest, CA 92630, USA",3
14368935,33.631327,-117.68046,"25816 Southbrook, Lake Forest, CA 92630, USA",2
14375270,33.649757,-117.690495,"25231 Cll Busca, Lake Forest, CA 92630, USA",2
14378700,33.627154,-117.71088,"24019 Crescent Rd, Lake Forest, CA 92630, USA",2
14388131,33.579233,-117.701134,"24575 Sundance Ave, Laguna Hills, CA 92653, USA",3
14391093,33.577924,-117.73688,"14 Brittany Bay, Aliso Viejo, CA 92656, USA",2
14396132,33.557022,-117.693766,"25001 Pam Ct, Laguna Niguel, CA 92677, USA",2
14431231,33.480448,-117.699791,"33211 Christina Dr, Dana Point, CA 92629, USA",3
14441651,33.468815,-117.68921,"25242 La Cresta Dr, Dana Point, CA 92629, USA",3
14446178,33.434948,-117.591515,"44 Via Zaragoza, San Clemente, CA 92672, USA",3
14448327,33.446464,-117.638973,"2715 Via Casa Loma, San Clemente, CA 92672, USA",3
14460432,33.573314,-117.583145,"28 Portmarnoch Ct, Coto De Caza, CA 92679, USA",2
14480163,33.594544,-117.626345,"18 Tanglewood Ln, Rancho Santa Margarita, CA 92688, USA",1
14480263,33.589629,-117.639048,"33 Windgate, Mission Viejo, CA 92692, USA",2
14480432,33.617438,-117.585924,"32 Via Andorra, Coto De Caza, CA 92679, USA",2
14480785,33.618737,-117.572027,"32072 Via Buho, Trabuco Canyon, CA 92679, USA",1
14487844,33.604007,-117.647285,"3551 Golondrina, Mission Viejo, CA 92692, USA",3
14492101,33.620721,-117.669764,"26396 Vía Galicia, Mission Viejo, CA 92691, USA",1
14501480,33.643509,-117.621804,"30 San Gabriel, Rancho Santa Margarita, CA 92688, USA",2
17292856,34.125457,-118.891074,"637 Duchy Way, Thousand Oaks, CA 91361, USA",1
11171690,34.410577,-118.567648,"26816 Fairlain Dr, Santa Clarita, CA 91355, USA",1
11323451,34.585525,-118.164479,"1846 Dawnridge Ct, Palmdale, CA 93551, USA",2
14323393,33.666449,-117.778338,"24 Preston, Irvine, CA 92618, USA",2
14350612,33.722875,-117.744512,"16 Plumbago, Irvine, CA 92620, USA",3
13053431,34.137483,-117.698951,"991 Olympic Ct, Claremont, CA 91711, USA",2
14162822,33.907127,-117.829078,"3770 Oak Hill Dr, Yorba Linda, CA 92886, USA",2
14408223,33.529145,-117.669972,"29802 Trabuco Creek Rd, San Juan Capistrano, CA 92675, USA",2
14461714,33.559994,-117.58325,"28 Weber Ln, Coto De Caza, CA 92679, USA",1
13936325,33.798067,-117.932202,"2022 9th St, Anaheim, CA 92802, USA",2
17250351,34.266697,-118.676444,"5892 Oak Fern Ct, Simi Valley, CA 93063, USA",1
14066675,33.690583,-118.000012,"7317 Arcadia Dr, Huntington Beach, CA 92648, USA",2
11319763,34.636983,-118.250308,"6735 Pistachio Pl, Palmdale, CA 93551, USA",1
11306729,34.695188,-118.184505,"3018 W Lumber St, Lancaster, CA 93536, USA",1
11307372,34.680117,-118.205613,"43904 42nd St W, Lancaster, CA 93536, USA",1
11324650,34.567659,-118.172881,"37767 Mangrove Dr, Palmdale, CA 93551, USA",1
17187945,34.209796,-119.019275,"3804 Fountain St, Camarillo, CA 93012, USA",1
11216644,34.575294,-118.006841,"38163 Soudan Ave, Palmdale, CA 93552, USA",2
17057305,34.453936,-119.226839,"1496 Grand Ave, Ojai, CA 93023, USA",1
17087760,34.27424,-119.218179,"5649 Larkin St, Ventura, CA 93003, USA",1
17090279,34.286107,-119.190157,"7898 El Dorado St, Ventura, CA 93004, USA",1
17117708,34.224217,-119.188625,"930 Fuchsia St, Oxnard, CA 93036, USA",1
17127580,34.23082,-119.065042,"9 Camino Castenada, Camarillo, CA 93010, USA",1
17136715,34.23744,-119.026468,"1941 Dwight Ave, Camarillo, CA 93010, USA",1
17136815,34.234713,-119.030859,"1712 Munson St, Camarillo, CA 93010, USA",3
17143817,34.227289,-118.997972,"5313 San Francesca Dr, Camarillo, CA 93012, USA",2
17161962,34.201832,-119.167263,"154 Lupita St, Oxnard, CA 93030, USA",1
17171118,34.150266,-119.214635,"160 Van Nuys Ave, Oxnard, CA 93035, USA",2
17173376,34.15741,-119.191626,"615 Park Ave, Port Hueneme, CA 93041, USA",1
17180866,34.16682,-119.17447,"340 De Anza Way, Oxnard, CA 93033, USA",1
17206103,34.298479,-118.859959,"6821 N Tulane Ave, Moorpark, CA 93021, USA",2
17214644,34.186726,-118.903039,"597 Kalinda Pl, Thousand Oaks, CA 91320, USA",2
17221825,34.248135,-118.819567,"917 Firestone Cir, Simi Valley, CA 93065, USA",2
17223813,34.233742,-118.860532,"1052 Calle Contento, Thousand Oaks, CA 91360, USA",2
17224631,34.225972,-118.83485,"2393 Otono Cir, Thousand Oaks, CA 91362, USA",2
17228772,34.281574,-118.767597,"2578 Callahan Ave, Simi Valley, CA 93065, USA",2
17243957,34.278468,-118.773496,"1339 Agnew St, Simi Valley, CA 93065, USA",2
17249548,34.268336,-118.663942,"6465 Hope St, Simi Valley, CA 93063, USA",2
17251977,34.259672,-118.744974,"2655 Hammil Ct, Simi Valley, CA 93065, USA",1
17265842,34.179478,-118.912668,"1616 Meadowglen Ct, Thousand Oaks, CA 91320, USA",3
17290419,34.193839,-118.819559,"1647 Larkfield Ave, Westlake Village, CA 91362, USA",1
10735049,34.176607,-118.652044,"5849 Valley Cir Blvd, Woodland Hills, CA 91367, USA",1
10735249,34.171513,-118.653792,"5548 Franrivers Ave, Woodland Hills, CA 91367, USA",2
10749958,34.141517,-118.749376,"4926 Vejar Dr, Agoura Hills, CA 91301, USA",2
10757417,34.155705,-118.625344,"4626 Romberg Pl, Woodland Hills, CA 91364, USA",2
10767017,34.215894,-118.578137,"20417 Strathern St, Canoga Park, CA 91306, USA",2
10767769,34.217074,-118.580582,"8100 Sunny Brae Ave, Canoga Park, CA 91306, USA",1
10771670,34.206714,-118.58129,"7503 Sunny Brae Ave, Canoga Park, CA 91306, USA",1
10777179,34.206287,-118.525629,"7449 Newcastle Ave, Reseda, CA 91335, USA",2
10779521,34.18231,-118.520064,"6200 Balcom Ave, Encino, CA 91316, USA",1
10794525,34.191966,-118.582322,"20601 Archwood St, Canoga Park, CA 91306, USA",2
10806881,34.160852,-118.573511,"20257 Allentown Dr, Woodland Hills, CA 91364, USA",1
10814303,34.14974,-118.543714,"18938 La Amistad Pl, Tarzana, CA 91356, USA",1
10854474,34.163161,-118.479111,"5150 Gloria Ave, Encino, CA 91436, USA",2
10868096,34.140236,-118.485003,"3830 Hayvenhurst Dr, Encino, CA 91436, USA",2
10877636,34.205987,-118.37289,"11107 Runnymede St, Sun Valley, CA 91352, USA",2
10882849,33.989975,-118.42593,"12529 Greene Ave, Los Angeles, CA 90066, USA",1
10904491,34.156762,-118.429441,"4733 Ventura Canyon Ave, Van Nuys, CA 91423, USA",1
10915596,34.135644,-118.380181,"3601 Berry Dr, Studio City, CA 91604, USA",1
10925330,34.187344,-118.353859,"2117 N Maple St, Burbank, CA 91505, USA",2
10947895,34.198587,-118.318019,"712 Birmingham Rd, Burbank, CA 91504, USA",1
10971922,34.311464,-118.419946,"13247 Tripoli Ave, Sylmar, CA 91342, USA",2
10993918,34.265359,-118.287559,"10823 Burland Ave, Tujunga, CA 91042, USA",2
11010955,34.318018,-118.478424,"13759 Norris Ave, Sylmar, CA 91342, USA",1
11011001,34.315539,-118.477209,"13451 Pala Ave, Sylmar, CA 91342, USA",3
11025663,34.238311,-118.420136,"9262 Lev Ave, Arleta, CA 91331, USA",1
11058266,34.269561,-118.497433,"10952 Ruffner Ave, Granada Hills, CA 91344, USA",2
11061966,34.223271,-118.488354,"16328 Community St, North Hills, CA 91343, USA",1
11076456,34.259536,-118.602607,"10410 Hillview Ave, Chatsworth, CA 91311, USA",1
11087559,34.252357,-118.604007,"21801 Vintage St, Chatsworth, CA 91311, USA",1
11137653,34.361497,-118.550943,"23731 La Salle Canyon Dr, Newhall, CA 91321, USA",2
11139844,34.375801,-118.549122,"25065 Green Mill Ave, Newhall, CA 91321, USA",2
11178008,34.452141,-118.622184,"27879 Beacon St, Castaic, CA 91384, USA",2
11184944,34.627129,-118.226293,"41009 Ridgegate Ln, Palmdale, CA 93551, USA",1
11185044,34.627395,-118.227936,"41006 Vista Rambia, Palmdale, CA 93551, USA",1
11200223,34.562118,-118.10307,"1446 Springline Dr, Palmdale, CA 93550, USA",2
11212106,34.573382,-118.035556,"38021 53rd St E, Palmdale, CA 93552, USA",1
11212206,34.563176,-118.02685,"37501 Park Forest Ct, Palmdale, CA 93552, USA",2
